international_designator,norad_catalog_number,satellite_name,source,launch_date,launch_site,object_type,last_data
1980-057H,26977.0,COSMOS 1191 DEB,CIS,1980-07-02,PLMSC,DEB,2021-11-11T05:28:05.004480
1980-057J,26978.0,COSMOS 1191 DEB,CIS,1980-07-02,PLMSC,DEB,2016-02-22T15:16:05.661696
1989-006H,27028.0,ARIANE 2 DEB,FR,1989-01-27,FRGUI,DEB,2002-02-21T19:12:58.161024
1989-006J,27029.0,ARIANE 2 DEB,FR,1989-01-27,FRGUI,DEB,2025-01-01T12:39:50.906592
1989-006Q,27035.0,ARIANE 2 DEB,FR,1989-01-27,FRGUI,DEB,2023-11-19T02:29:08.283840
1989-006S,27037.0,ARIANE 2 DEB,FR,1989-01-27,FRGUI,DEB,2019-05-14T20:51:29.917728
1989-006T,27038.0,ARIANE 2 DEB,FR,1989-01-27,FRGUI,DEB,2024-11-10T05:18:27.812736
1989-006W,27041.0,ARIANE 2 DEB,FR,1989-01-27,FRGUI,DEB,2022-12-22T11:28:14.980224
1989-006AA,27045.0,ARIANE 2 DEB,FR,1989-01-27,FRGUI,DEB,2017-10-02T13:50:04.765920
1989-062K,27047.0,ARIANE 44LP DEB,FR,1989-08-08,FRGUI,DEB,2024-10-21T18:24:11.981376
1990-065V,27052.0,CRRES DEB [CANISTER],US,1990-07-25,AFETR,DEB,2019-01-31T02:41:55.788864
1968-055H,27480.0,DELTA 1 DEB,US,1968-07-04,AFWTR,DEB,2023-01-07T03:20:37.831200
